"Salina, KS","59,760","61,697","1,937",3.2
"Salisbury, NC","130,340","138,428","8,088",6.2
"Sanford, NC","49,040","57,866","8,826",18.0
"Sault Ste. Marie, MI","38,543","38,520",-23,-0.1
"Sayre, PA","62,761","62,622",-139,-0.2
"Scottsbluff, NE","37,770","37,660",-110,-0.3
"Scottsboro, AL","53,926","53,227",-699,-1.3
"Scottsburg, IN","22,960","24,181","1,221",5.3
"Seaford, DE","156,638","197,145","40,507",25.9
"Searcy, AR","67,165","77,076","9,911",14.8
"Sebring, FL","87,366","98,786","11,420",13.1
"Sedalia, MO","39,403","42,201","2,798",7.1
"Selinsgrove, PA","37,546","39,702","2,156",5.7
"Selma, AL","46,365","43,820","-2,545",-5.5
"Seneca, SC","66,215","74,273","8,058",12.2
"Seneca Falls, NY","33,342","35,251","1,909",5.7
"Sevierville, TN","71,170","89,889","18,719",26.3
"Seymour, IN","41,335","42,376","1,041",2.5
"Shawnee, OK","65,521","69,442","3,921",6.0
"Shelby, NC","96,287","98,078","1,791",1.9
"Shelbyville, TN","37,586","45,058","7,472",19.9
"Shelton, WA","49,405","60,699","11,294",22.9
"Sheridan, WY","26,560","29,116","2,556",9.6
"Show Low, AZ","97,470","107,449","9,979",10.2
"Sidney, OH","47,910","49,423","1,513",3.2
"Sierra Vista-Douglas, AZ","117,755","131,346","13,591",11.5
"Sikeston, MO","40,422","39,191","-1,231",-3.0
"Silver City, NM","31,002","29,514","-1,488",-4.8
"Silverthorne, CO","23,548","27,994","4,446",18.9
"Snyder, TX","16,361","16,921",560,3.4
"Somerset, KY","56,217","63,063","6,846",12.2
"Somerset, PA","80,023","77,742","-2,281",-2.9
"Southern Pines-Pinehurst, NC","74,769","88,247","13,478",18.0
"Spearfish, SD","21,802","24,097","2,295",10.5
"Spencer, IA","17,372","16,667",-705,-4.1
"Spirit Lake, IA","16,424","16,667",243,1.5
"Starkville, MS","42,902","47,671","4,769",11.1
"Statesboro, GA","55,983","70,217","14,234",25.4
"Statesville-Mooresville, NC","122,660","159,437","36,777",30.0
"Staunton-Waynesboro, VA","108,988","118,502","9,514",8.7
"Stephenville, TX","33,001","37,890","4,889",14.8
"Sterling, CO","20,504","22,709","2,205",10.8
"Sterling, IL","60,653","58,498","-2,155",-3.6
"Stevens Point, WI","67,182","70,019","2,837",4.2
"Stillwater, OK","68,190","77,350","9,160",13.4
"Storm Lake, IA","20,411","20,260",-151,-0.7
"Sturgis, MI","62,422","61,295","-1,127",-1.8
"Sulphur Springs, TX","31,960","35,161","3,201",10.0
"Summerville, GA","25,470","26,015",545,2.1
"Sunbury, PA","94,556","94,528",-28,0.0
"Susanville, CA","33,828","34,895","1,067",3.2
"Sweetwater, TX","15,802","15,216",-586,-3.7
"Tahlequah, OK","42,521","46,987","4,466",10.5
"Talladega-Sylacauga, AL","80,321","82,291","1,970",2.5
"Tallulah, LA","13,728","12,093","-1,635",-11.9
"Taos, NM","29,979","32,937","2,958",9.9
"Taylorville, IL","35,372","34,800",-572,-1.6
"The Dalles, OR","23,791","25,213","1,422",6.0
"The Villages, FL","53,345","93,420","40,075",75.1
"Thomaston, GA","27,597","27,153",-444,-1.6
"Thomasville, GA","42,737","44,720","1,983",4.6
"Thomasville-Lexington, NC","147,246","162,878","15,632",10.6
